oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Ludność wg płci oraz w podziale na miasto i wieś (dane półroczne)|rok|ogółem|ogółem
3,011212006000,krakowski,1231.0,2009,1206,powiat,12,małopolskie,253344.0
4,011212210000,nowosądecki,1549.0,2009,1210,powiat,12,małopolskie,202701.0
5,011212416000,tarnowski,1412.0,2009,1216,powiat,12,małopolskie,195908.0
6,011216911000,nowotarski,1474.0,2009,1211,powiat,12,małopolskie,185161.0
212,042214364000,Sopot,17.0,2009,2264,miasto na prawach powiatu,22,pomorskie,38460.0
75,012414863000,Chorzów,33.0,2009,2463,miasto na prawach powiatu,24,śląskie,113007.0
86,012414979000,Żory,65.0,2009,2479,miasto na prawach powiatu,24,śląskie,62022.0
267,012414571000,Piekary Śląskie,40.0,2009,2471,miasto na prawach powiatu,24,śląskie,58519.0
370,042815662000,Olsztyn,88.0,2009,2862,miasto na prawach powiatu,28,warmińsko-mazurskie,176457.0
358,042217202000,chojnicki,1364.0,2009,2202,powiat,22,pomorskie,93411.0
360,020811462000,Zielona Góra,58.0,2009,0862,miasto na prawach powiatu,08,lubuskie,117503.0
364,031613107000,nyski,1224.0,2009,1607,powiat,16,opolskie,143852.0
373,051011963000,Skierniewice,33.0,2009,1063,miasto na prawach powiatu,10,łódzkie,48958.0
377,060611109000,lubelski,1680.0,2009,0609,powiat,06,lubelskie,144383.0
378,062013702000,białostocki,2975.0,2009,2002,powiat,20,podlaskie,139643.0
73,012414766000,Gliwice,134.0,2009,2466,miasto na prawach powiatu,24,śląskie,196167.0
77,012414870000,Mysłowice,66.0,2009,2470,miasto na prawach powiatu,24,śląskie,74893.0
78,012414872000,Ruda Śląska,78.0,2009,2472,miasto na prawach powiatu,24,śląskie,143394.0
79,012414874000,Siemianowice Śląskie,25.0,2009,2474,miasto na prawach powiatu,24,śląskie,70712.0
80,012414876000,Świętochłowice,13.0,2009,2476,miasto na prawach powiatu,24,śląskie,54091.0
186,040410603000,bydgoski,1395.0,2009,0403,powiat,04,kujawsko-pomorskie,103010.0
84,012414967000,Jastrzębie-Zdrój,85.0,2009,2467,miasto na prawach powiatu,24,śląskie,92988.0
89,012415065000,Dąbrowa Górnicza,189.0,2009,2465,miasto na prawach powiatu,24,śląskie,127686.0
90,012415068000,Jaworzno,153.0,2009,2468,miasto na prawach powiatu,24,śląskie,95036.0
91,012415075000,Sosnowiec,91.0,2009,2475,miasto na prawach powiatu,24,śląskie,219300.0
359,012415108000,mikołowski,233.0,2009,2408,powiat,24,śląskie,92655.0
282,012415114000,bieruńsko-lędziński,158.0,2009,2414,powiat,24,śląskie,56806.0
93,012415177000,Tychy,82.0,2009,2477,miasto na prawach powiatu,24,śląskie,129449.0
7,020811301000,gorzowski,1214.0,2009,0801,powiat,08,lubuskie,67443.0
98,020811361000,Gorzów Wielkopolski,86.0,2009,0861,miasto na prawach powiatu,08,lubuskie,125383.0
362,023216663000,Świnoujście,197.0,2009,3263,miasto na prawach powiatu,32,zachodniopomorskie,40765.0
349,030210422000,wołowski,675.0,2009,0222,powiat,02,dolnośląskie,47344.0
363,030210564000,Wrocław,293.0,2009,0264,miasto na prawach powiatu,02,dolnośląskie,632146.0
350,040410661000,Bydgoszcz,176.0,2009,0461,miasto na prawach powiatu,04,kujawsko-pomorskie,357650.0
365,040410663000,Toruń,116.0,2009,0463,miasto na prawach powiatu,04,kujawsko-pomorskie,205718.0
366,040410704000,chełmiński,527.0,2009,0404,powiat,04,kujawsko-pomorskie,51456.0
299,023015761000,Kalisz,69.0,2009,3061,miasto na prawach powiatu,30,wielkopolskie,107019.0
367,040410801000,aleksandrowski,475.0,2009,0401,powiat,04,kujawsko-pomorskie,55336.0
333,071422661000,Ostrołęka,29.0,2009,1461,miasto na prawach powiatu,14,mazowieckie,53837.0
342,071427062000,Płock,88.0,2009,1462,miasto na prawach powiatu,14,mazowieckie,126542.0
46,011212001000,bocheński,649.0,2009,1201,powiat,12,małopolskie,102181.0
47,011212008000,miechowski,676.0,2009,1208,powiat,12,małopolskie,50114.0
48,011212009000,myślenicki,673.0,2009,1209,powiat,12,małopolskie,119975.0
49,011212014000,proszowicki,415.0,2009,1214,powiat,12,małopolskie,43419.0
50,011212019000,wielicki,411.0,2009,1219,powiat,12,małopolskie,110400.0
51,011212161000,Kraków,327.0,2009,1261,miasto na prawach powiatu,12,małopolskie,755000.0
52,011212205000,gorlicki,966.0,2009,1205,powiat,12,małopolskie,107017.0
53,011212207000,limanowski,951.0,2009,1207,powiat,12,małopolskie,124278.0
54,011212262000,Nowy Sącz,58.0,2009,1262,miasto na prawach powiatu,12,małopolskie,84556.0
